// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
45216	10983486	-9.847917	-0.115955	-0.033137	-0.006220	-0.003105	0.004818
45217	10983511	-9.823656	-0.109901	-0.040525	-0.005582	-0.001293	0.001356
45218	10983536	-9.822941	-0.112467	0.004025	-0.006990	0.002748	-0.002144
45219	10983561	-9.829283	-0.092861	-0.011726	-0.008698	-0.000255	-0.001834
45220	10983586	-9.831386	-0.108387	-0.026568	-0.001417	0.000057	-0.005190
45221	10983611	-9.814387	-0.115086	-0.065917	-0.009337	-0.001813	0.002329
45222	10983636	-9.804146	-0.118063	-0.021933	-0.008970	0.002252	-0.005285
45223	10983661	-9.847795	-0.092981	-0.021640	-0.006542	-0.003776	-0.003780
45224	10983686	-9.823518	-0.095115	-0.016527	-0.012320	-0.003102	-0.003317
45225	10983711	-9.817201	-0.099077	-0.027578	-0.008363	-0.002569	0.000843
45226	10983736	-9.793997	-0.125808	-0.030083	-0.011337	-0.001590	-0.000302
45227	10983761	-9.818985	-0.106588	-0.031937	-0.007370	0.000939	0.003745
45228	10983786	-9.854478	-0.092109	-0.021167	-0.011945	-0.002708	-0.002290
45229	10983811	-9.826183	-0.096112	-0.046263	-0.011207	-0.001657	-0.001712
45230	10983836	-9.852558	-0.085191	-0.036973	-0.008471	-0.001286	-0.001900
45231	10983861	-9.855890	-0.106988	-0.071525	-0.007127	0.000875	0.001241
45232	10983886	-9.813863	-0.114484	-0.076037	-0.010422	0.001781	-0.000858
45233	10983911	-9.841781	-0.102398	-0.052866	-0.015232	-0.000313	-0.004572
45234	10983936	-9.855463	-0.066701	-0.066154	-0.014980	-0.007659	0.002889
45235	10983961	-9.855872	-0.073905	-0.062394	-0.019915	-0.001356	0.001779
45236	10983986	-9.843741	-0.082011	-0.084539	-0.022146	0.001827	-0.004604
45237	10984011	-9.832716	-0.106116	-0.046206	-0.027341	0.000450	-0.000945
45238	10984036	-9.816665	-0.093063	-0.050595	-0.024788	-0.003514	-0.001173
45239	10984061	-9.836143	-0.089278	-0.066345	-0.027175	-0.000775	-0.001985
45240	10984086	-9.819649	-0.111799	-0.069288	-0.031272	-0.003111	-0.003333
45241	10984111	-9.826827	-0.088711	-0.034314	-0.029664	0.003120	-0.002083
45242	10984136	-9.816355	-0.105728	0.004025	-0.029173	-0.000159	0.000204
45243	10984161	-9.836292	-0.107733	-0.003564	-0.026035	-0.000292	0.002505
45244	10984186	-9.846526	-0.088940	-0.004398	-0.029112	-0.004172	-0.000645
45245	10984211	-9.839016	-0.118232	-0.003561	-0.023095	0.002016	0.001934
45246	10984236	-9.821677	-0.084439	-0.027140	-0.024572	0.002314	0.000528
45247	10984261	-9.819067	-0.089741	-0.052494	-0.027308	-0.002651	-0.000390
45248	10984286	-9.840309	-0.108628	-0.045662	-0.023101	-0.002256	-0.001745
45249	10984311	-9.847260	-0.089815	-0.038951	-0.027470	-0.003685	-0.001420
45250	10984336	-9.805393	-0.087985	-0.032461	-0.026132	-0.001208	0.000766
45251	10984361	-9.840035	-0.099791	-0.030346	-0.028071	-0.002655	0.002310
45252	10984386	-9.851355	-0.100661	-0.047590	-0.028181	0.002694	-0.002341
45253	10984411	-9.851021	-0.090716	-0.044194	-0.033846	-0.002377	-0.000560
45254	10984436	-9.818411	-0.104906	-0.051557	-0.025094	-0.001769	0.000507
45255	10984461	-9.847278	-0.096282	-0.021211	-0.030905	-0.002331	-0.002107
45256	10984486	-9.829575	-0.104648	-0.017011	-0.031976	-0.000603	-0.000048
45257	10984511	-9.825307	-0.090439	-0.044304	-0.033824	-0.001286	-0.002863
45258	10984536	-9.831421	-0.098186	-0.040981	-0.027709	0.001796	-0.003953
45259	10984561	-9.845875	-0.121091	-0.045184	-0.029725	0.000530	-0.003695
45260	10984586	-9.823243	-0.114032	-0.022282	-0.023465	-0.001173	-0.006229
45261	10984611	-9.856081	-0.116780	-0.021599	-0.024731	-0.003256	-0.001363
45262	10984636	-9.833440	-0.133058	-0.028963	-0.023666	-0.000983	-0.007445
45263	10984661	-9.824324	-0.099148	-0.029919	-0.020659	-0.004664	-0.001827
45264	10984686	-9.844542	-0.116837	-0.037044	-0.018984	-0.000495	0.002103
45265	10984711	-9.830718	-0.116673	-0.039473	-0.017893	-0.003006	-0.002852
