// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
16114	10255936	-0.028998	0.065687	9.783085	-0.006956	-0.000736	-0.003812
16115	10255961	-0.024942	0.065310	9.812784	-0.004321	0.001580	-0.000988
16116	10255986	-0.048378	0.110902	9.821995	-0.006519	-0.001559	0.002021
16117	10256011	-0.055188	0.089651	9.810533	-0.005116	-0.001732	-0.001577
16118	10256036	-0.074656	0.126440	9.808715	-0.002633	-0.001173	0.000283
16119	10256061	-0.036642	0.108559	9.770174	-0.003588	0.002290	-0.004511
16120	10256086	-0.034807	0.099386	9.807558	-0.008212	-0.001068	-0.000924
16121	10256111	-0.056829	0.136815	9.828748	-0.004195	-0.000426	-0.000283
16122	10256136	-0.074545	0.106321	9.824997	-0.001250	-0.000636	-0.003950
16123	10256161	-0.056893	0.119202	9.798069	-0.006144	-0.001940	-0.002150
16124	10256186	-0.062408	0.107952	9.783247	-0.008687	0.000089	0.002101
16125	10256211	-0.055888	0.130115	9.768822	-0.005212	-0.002573	0.000668
16126	10256236	-0.058863	0.126317	9.797116	-0.006908	-0.004026	-0.002991
16127	10256261	-0.065311	0.124718	9.839339	-0.001922	-0.001082	0.002144
16128	10256286	-0.044430	0.111076	9.809986	-0.008366	-0.006577	-0.003454
16129	10256311	-0.053896	0.109965	9.788002	-0.003645	0.000565	0.000808
16130	10256336	-0.050061	0.099386	9.797086	-0.005791	0.003360	0.000182
16131	10256361	-0.049996	0.095283	9.793245	-0.000301	0.002176	0.002024
16132	10256386	-0.039363	0.117793	9.810450	-0.007199	-0.000739	-0.002849
16133	10256411	-0.014205	0.078052	9.829987	-0.000273	0.001532	0.004515
16134	10256436	0.000805	0.104898	9.818395	-0.005612	-0.002451	-0.001901
16135	10256461	-0.020771	0.085954	9.798862	-0.005680	-0.000055	0.000039
